OpenTime,Open,High,Low,Close,Volume,SMA_10,RSI,MACD,MACD_Signal
28/07/2024,67896.49,68318.43,67066.66,68249.88,10868.69394,67066.364,74.56839,1629.36351,1149.803401
29/07/2024,68249.88,70079.99,66428,66784.69,36467.29633,67078.833,58.10938,1558.4576,1231.534241
30/07/2024,66784.68,67000,65302.67,66188,23132.25441,66983.637,54.40629,1437.54513,1272.736419
31/07/2024,66188,66849.24,64530,64628,22625.43905,66629.903,51.98744,1201.98642,1258.586418
01/08/2024,64628.01,65659.78,62302,65354.02,35542.26854,66412.104,54.80631,1061.65014,1219.199163
02/08/2024,65354.02,65596.14,61230.01,61498.33,38820.42937,65968.336,33.23603,632.02508,1101.764346
03/08/2024,61498.34,62198.22,59850,60697.99,28034.71567,65500.535,29.50442,224.3769,926.2868571
04/08/2024,60697.99,61117.63,57122.77,58161,31616.52003,64736.64,20.9634,-299.94355,681.0407758
05/08/2024,58161,58305.59,49000,54018.81,162065.5919,63347.722,17.41606,-1037.74888,337.2828456
06/08/2024,54018.82,57040.99,53950,56022.01,55884.77676,62160.273,26.55509,-1444.17585,-19.00889401
07/08/2024,56022,57736.05,54558.62,55134.16,44269.37684,60848.701,26.14962,-1816.96934,-378.6009839
08/08/2024,55133.76,62745.14,54730,61685.99,48349.52949,60338.831,42.54688,-1565.68471,-616.0177285
09/08/2024,61686,61744.37,59535,60837.99,30972.48017,59803.83,36.57877,-1418.61344,-776.5368714
10/08/2024,60837.99,61470.58,60242,60923.51,9995.20621,59433.381,36.80002,-1280.39803,-877.3091022
11/08/2024,60923.51,61858,58286.73,58712.59,19189.84512,58769.238,33.13204,-1333.88785,-968.6248516
12/08/2024,58712.59,60711.09,57642.21,59346.64,37009.91743,58554.069,36.44635,-1310.01534,-1036.90295
13/08/2024,59346.64,61578.1,58392.88,60587.15,27858.95851,58542.985,40.02808,-1177.4248,-1065.00732
14/08/2024,60587.16,61800,58433.18,58683.39,28422.76326,58595.224,39.54403,-1211.99227,-1094.404309
15/08/2024,58683.39,59849.38,56078.54,57541.06,37686.17622,58947.449,36.45614,-1316.3892,-1138.801288
16/08/2024,57541.05,59817.76,57098.62,58874.6,27610.84344,59232.708,45.01591,-1276.80083,-1166.401196
17/08/2024,58874.59,59700,58785.05,59491.99,7721.72931,59668.491,47.69302,-1181.98338,-1169.517632
18/08/2024,59491.99,60284.99,58408.92,58427.35,13634.85717,59342.627,50.53992,-1179.15485,-1171.445076
19/08/2024,58427.35,59617.63,57787.3,59438.5,22809.31251,59202.678,62.58363,-1082.83957,-1153.723974
20/08/2024,59438.5,61400,58548.23,59013.8,31477.44548,59011.707,57.49589,-1028.91802,-1128.762783
21/08/2024,59013.8,61820.93,58783.47,61156.03,27983.6422,59256.051,64.19545,-804.0561,-1063.821446
22/08/2024,61156.03,61400,59724.87,60375.84,21241.20588,59358.971,45.75699,-680.95657,-987.2484709
23/08/2024,60375.83,64955,60342.14,64037.24,38118.07089,59703.98,58.76395,-284.67339,-846.7334545
24/08/2024,64037.24,64494.5,63531,64157.01,15857.15616,60251.342,58.84118,38.60333,-669.6660978
